feature,usage,usage_pct,is_dead,attack_ratio,corr_brightness,corr_boominess,corr_warmth,corr_hardness,corr_depth,corr_roughness,corr_sharpness,corr_loudness,corr_reverb
579,3.0,0.0009142774,False,38.595627,-0.03514011,0.033370066,0.037315786,-0.043136902,0.034587376,-0.03787947,-0.038795307,0.018114377,0.107850775
580,93693.0,28.553795,False,1.2983272,0.029011434,-0.001926864,-0.03749872,-0.03583211,-0.015088481,-0.017419446,0.0153156975,-0.009558444,-0.009772986
581,2.0,0.00060951826,False,0.0,-0.03396419,0.033390623,0.03673236,-0.041448124,0.0326538,-0.036783587,-0.03768818,0.020276144,0.10809553
582,3.0,0.0009142774,False,1238.6038,-0.033050153,0.031099355,0.034906864,-0.039877217,0.030469537,-0.03611117,-0.036924705,0.017684111,0.10836096
583,7.0,0.0021333138,False,7360.1455,-0.033214115,0.031639766,0.03510811,-0.0402019,0.030370174,-0.035520602,-0.03684041,0.018731039,0.10883423
584,11.0,0.00335235,False,18057.04,-0.033368375,0.029916054,0.03483211,-0.03920979,0.03163114,-0.03574558,-0.034530565,0.018965453,0.10753922
585,3.0,0.0009142774,False,24.627663,-0.034484103,0.03245846,0.036644112,-0.04095755,0.032024756,-0.03777846,-0.03813989,0.018947605,0.108659364
586,2.0,0.00060951826,False,0.0,-0.03375674,0.032246113,0.035989925,-0.04121627,0.030955419,-0.03632778,-0.037395865,0.0194513,0.10771572
587,0.0,0.0,False,0.0,0.012391701,-0.040252917,-0.00987658,-0.0058036614,-0.020102343,0.024919856,0.022051884,0.07166771,0.99990124
588,3.0,0.0009142774,False,18.185444,-0.031566653,0.030666148,0.033911817,-0.0401379,0.030678768,-0.03386909,-0.035429567,0.020003172,0.10703531
589,2.0,0.00060951826,False,1788.511,-0.030707374,0.030625837,0.032799836,-0.038451504,0.030553138,-0.034279436,-0.033918638,0.019323798,0.1076919
590,4.0,0.0012190365,False,440.252,-0.032397166,0.03201218,0.034843147,-0.04265044,0.031058744,-0.03512559,-0.035578687,0.019242868,0.10844901
